Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
772,AMAL,Financial Services,Banks - Regional,NASDAQ,116.41,87,87,85,84,47.58,1417267013.4240036,29900147.0,0.066,-7.77,262790,221270,197188,0.235
773,FBIOP,Healthcare,Biotechnology,NASDAQ,116.32,87,94,95,93,16.65,,,0.07,-22.31,14880,11636,11114,0.14
774,TSM,Technology,Semiconductors,NYSE,116.31,87,83,88,86,450.61,2254404728873.305,5186474013.0,0.0062,-5.93,10645480,9718353,11219322,0.36
775,BWFG,Financial Services,Banks - Regional,NASDAQ,116.3,87,88,82,82,66.48,532208867.7499695,7971972.0,0.076,-4.47,81170,70966,72052,0.197
776,RPD,Technology,Software - Infrastructure,NASDAQ,116.28,86,87,30,4,11.62,806785678.7979126,67400640.0,0.12149999,-44.53,2345940,1907396,2189604,-0.015
777,SCL,Basic Materials,Specialty Chemicals,NYSE,116.2,86,81,62,48,64.53,1406689599.4809723,22732540.0,0.043899998,-5.1,186080,136120,144050,0.15
778,ZYBT,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,116.2,86,90,6,6,1.3,64926186.715979695,47391377.0,0.0038,-86.4,26190,114600,6530052,-0.409
779,LTRX,Technology,Communication Equipment,NASDAQ,116.19,86,61,81,88,7.02,272576551.1064229,46594283.0,0.070300005,-19.77,1498080,1292293,1033228,0.08
780,GRMN,Technology,Scientific & Technical Instruments,NYSE,116.18,86,82,52,73,294.14,52853165545.32861,192852536.0,0.019199999,-6.41,931050,866870,955476,0.114
781,ARCB,Industrials,Trucking,NASDAQ,116.14,86,91,92,86,125.16,2877289704.924713,22351354.0,0.0806,-29.16,277790,248903,306506,0.159
782,OXBR,Financial Services,Insurance - Reinsurance,NASDAQ,116.06,86,48,30,8,1.46,12045094.115231037,8138577.0,0.0061000003,-40.16,7420,20873,41430,0.416
783,BTG,Basic Materials,Gold,NYSE ARCA,116.0,86,79,22,73,5.48,7252678181.010899,1321070762.0,2.57,-12.88,19818180,26061206,25469338,0.14
784,PR,Energy,Oil & Gas E&P,NYSE,115.99,86,89,66,92,21.36,19062798171.741592,837557029.0,0.0247,-13.33,12969290,10501456,9785882,0.551
785,RPRX,Healthcare,Biotechnology,NASDAQ,115.96,86,87,84,84,58.21,26008649595.09607,445277344.0,0.0271,-9.58,2965450,2949063,2936024,0.165
786,FA,Industrials,Specialty Business Services,NASDAQ,115.96,86,89,84,19,19.6,3558736359.5860996,171753691.0,0.1331,-22.07,1291820,1436550,1923570,0.149
787,AII,Financial Services,Insurance - Property & Casualty,NYSE,115.9,86,90,36,62,25.19,517658342.83485985,19593427.0,0.014199999,-6.7,249890,222406,184812,0.546
788,CARL,Healthcare,Health Information Services,NASDAQ,115.86,86,82,37,20,15.1,425376733.856966,27302743.0,0.1076,-12.36,81700,121803,122482,0.567
789,LB,Energy,Oil & Gas E&P,NYSE,115.86,86,89,72,80,81.38,2441649418.634918,28404484.0,0.1262,-11.24,234800,256653,283356,0.406
790,AIRT,Industrials,Conglomerates,NASDAQ,115.86,86,92,68,75,29.03,83591779.0,2696509.0,0.025799999,-17.06,67250,39070,30384,0.629
791,SXC,Basic Materials,Coking Coal,NYSE,115.83,86,90,60,25,9.57,805462307.0736885,84874850.0,0.0582,-10.39,1010890,1028693,1381800,0.095
792,ATRO,Industrials,Aerospace & Defense,NASDAQ,115.79,86,93,94,95,69.22,2826125556.064026,43009064.0,0.094799995,-26.72,804310,632766,630786,0.27
793,FIGS,Consumer Cyclical,Apparel Manufacturing,NYSE,115.79,86,89,59,96,13.42,2169791630.23522,166140242.0,0.18530001,-23.23,2464790,2424130,2908516,0.288
794,ORIC,Healthcare,Biotechnology,NASDAQ,115.79,86,86,74,66,13.16,1325717466.285965,103652656.0,0.1683,-11.86,1772650,1313076,1484554,
795,FMAO,Financial Services,Banks - Regional,NASDAQ,115.75,86,83,75,63,34.93,489360429.0470581,13773162.0,0.0218,-3.29,55120,49316,66076,0.175
796,ALM,Basic Materials,Other Industrial Metals & Mining,NASDAQ,115.68,86,98,92,98,13.72,3992573624.018669,288480750.0,3.5,-43.79,6575520,6731636,6713330,4.977
797,MBIN,Financial Services,Banks - Regional,NASDAQ,115.67,86,86,82,84,52.1,2391995551.230812,45938075.0,0.0717,-8.39,284920,201693,193514,0.371
798,EMBJ,Industrials,Aerospace & Defense,NYSE,115.64,86,80,44,64,78.63,13359324647.141457,177958235.0,0.0128,-2.63,1331440,1224540,1243820,0.104
799,SCWO,Industrials,Pollution & Treatment Controls,NASDAQ,115.62,86,47,21,68,3.01,54760929.52220154,17495504.0,0.014199999,-72.39,53290,59016,57574,2.802
800,TASK,Technology,Information Technology Services,NASDAQ,115.59,86,65,9,21,8.2,744498600.0272532,91687021.0,0.1313,-54.66,578240,493466,717112,0.05
801,NSP,Industrials,Staffing & Employment Services,NYSE,115.56,86,93,74,10,47.83,1921604086.1532211,38195270.0,0.1008,-14.44,510000,374130,484344,0.017
802,FF,Basic Materials,Specialty Chemicals,NYSE,115.51,86,86,74,75,5.12,243880045.5701208,43863318.0,0.0421,-26.75,376530,359740,448334,1.207
803,STNG,Energy,Oil & Gas Midstream,NYSE,115.48,86,75,76,93,81.49,4365090823.723389,50081352.0,0.044699997,-9.52,1138460,859766,817374,0.775
804,JXN,Financial Services,Insurance - Life,NYSE,115.43,86,85,51,70,133.12,8985572342.464966,67728744.0,0.0502,-5.52,1174670,758626,695128,
805,HRMY,Healthcare,Biotechnology,NASDAQ,115.42,86,77,69,29,41.26,2447093260.518505,58236393.0,0.1185,-5.13,1227860,918586,902780,0.303
806,ELF,Consumer Defensive,Household & Personal Products,NYSE,115.39,86,90,31,21,99.51,5690731278.30249,59007996.0,0.0884,-32.65,1406930,1571590,2031530,0.355
807,EGY,Energy,Oil & Gas E&P,NYSE,115.37,86,85,64,94,5.82,637462168.6608782,105191778.0,0.0799,-13.39,1710510,1359946,1299014,0.395
808,TNET,Industrials,Staffing & Employment Services,NYSE,115.36,86,89,56,11,65.11,3088929862.047043,45904738.0,0.0571,-10.91,292220,320770,370774,-0.044
809,PARK,Healthcare,Medical Care Facilities,NASDAQ,115.35,86,92,89,88,19.91,96722436.60559845,4755282.0,0.0017,-25.68,34620,36600,30632,0.051
810,SEI,Energy,Oil & Gas Equipment & Services,NYSE,115.35,86,63,92,92,70.97,4585825317.4823,65831540.0,0.23799999,-17.66,2733800,2701063,2961002,0.469
811,WAT,Healthcare,Diagnostics & Research,NYSE,115.34,86,74,66,28,433.54,41398102523.07312,98185855.0,0.0336,0.41,785680,680453,783264,1.134
812,PI,Technology,Semiconductors,NASDAQ,115.33,86,62,64,24,178.28,5537376137.447464,30554413.0,0.1314,-27.84,446080,381076,434688,0.107
813,JAKK,Consumer Cyclical,Leisure,NASDAQ,115.33,86,85,75,71,25.26,276168129.9549637,11445012.0,0.0402,-7.2,47620,66693,95392,0.169
814,IMVT,Healthcare,Biotechnology,NASDAQ,115.32,86,96,94,83,33.3,7632121757.48719,206552682.0,0.1699,-26.68,1889700,1391873,1248436,
815,DAVE,Technology,Software - Application,NASDAQ,115.31,86,94,94,57,324.88,4309065468.164124,12755507.0,0.21530001,-29.1,346020,353846,397844,0.296
816,RIOT,Financial Services,Capital Markets,NASDAQ,115.3,86,70,93,67,23.0,8912399706.25,375258935.0,0.15,-24.14,17960240,16907236,19508788,0.139
817,E,Energy,Oil & Gas Integrated,NYSE,115.24,86,79,62,93,54.71,78428291422.40439,1435889655.0,0.001,-5.67,325630,353646,366916,0.185
