Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
3193,EEIQ,Consumer Defensive,Education & Training Services,NASDAQ,91.44,46,13,43,7,3.62,5960775.071558952,1646623.0,0.0107,-71.5,16540,13223,13920,0.168
3194,KFIIU,Financial Services,Shell Companies,NASDAQ,91.41,46,44,39,54,10.69,276112000.0,,3.67,-16.48,0,0,20,
3195,INVA,Healthcare,Biotechnology,NASDAQ,91.41,46,33,59,76,21.2,1492591709.0762138,72245485.0,0.1304,-15.71,767310,707703,732060,0.193
3196,BGH,Financial Services,Asset Management,NYSE,91.41,46,46,40,38,13.84,277940571.30433273,20082411.0,0.0032,-18.11,76269,72413,78723,
3197,JG,Technology,Software - Application,NASDAQ,91.39,46,20,6,31,6.0,38740702.0,5960108.0,0.0015,-39.33,4030,5116,7734,0.126
3198,AEE,Utilities,Utilities - Regulated Electric,NYSE,91.38,46,51,61,70,103.04,29040857452.329277,276843251.0,0.051,-12.91,1484880,1414760,1450832,-0.062
3199,SMA,Real Estate,REIT - Industrial,NYSE,91.38,46,59,39,38,32.26,1778449105.2196312,55368903.0,0.0924,-18.88,779600,708346,728628,0.114
3200,JJSF,Consumer Defensive,Packaged Foods,NASDAQ,91.38,46,58,21,23,80.98,1555991147.423523,18681608.0,0.1534,-22.62,174940,219860,213502,-0.062
3201,MSDL,Financial Services,Asset Management,NYSE,91.37,46,48,39,30,14.88,1237186347.8283558,84105122.0,0.052699998,-16.92,433041,429880,441452,-0.108
3202,NRK,Financial Services,Asset Management,NYSE,91.36,46,55,62,62,9.84,867118885.1546097,87235304.0,0.006,-9.72,401347,318232,283765,-0.018
3203,REGCO,Real Estate,REIT - Retail,NASDAQ,91.35,46,37,49,49,21.65,,,1.82,-10.68,4687,3275,2855,0.089
3204,MGRC,Industrials,Rental & Leasing Services,NASDAQ,91.35,46,56,57,43,111.22,2696593232.470604,24425663.0,0.0227,-11.61,132220,128346,145504,-0.062
3205,NVS,Healthcare,Drug Manufacturers - General,NYSE,91.33,46,60,66,81,138.7,260702054415.02563,1900714840.0,0.003,-18.63,3280560,2099606,1976186,0.008
3206,TIC,Industrials,Specialty Business Services,NYSE,91.33,46,41,23,15,8.85,2086186694.9289055,218220356.0,0.0979,-40.78,1454320,1974446,2029840,0.861
3207,ALOVU,Financial Services,Shell Companies,NASDAQ,91.33,46,39,45,47,10.06,,,23.14,-3.73,0,210,294,
3208,DTM,Energy,Oil & Gas Midstream,NYSE,91.32,46,56,75,81,124.99,13145691104.825195,102015296.0,0.068,-18.24,860740,958120,906996,0.11
3209,DLY,Financial Services,Asset Management,NYSE,91.3,46,44,39,40,13.44,666441244.1205826,48539058.0,0.58,-13.85,163154,177984,178736,
3210,NNI,Financial Services,Credit Services,NYSE,91.3,46,34,48,57,127.43,4532897087.572144,35779438.0,0.0448,-11.74,153140,150273,129546,-0.305
3211,ACIU,Healthcare,Biotechnology,NASDAQ,91.29,45,32,38,75,2.65,274418331.3717909,99426932.0,0.0709,-33.75,142460,205243,197824,10.572
3212,ECVT,Basic Materials,Specialty Chemicals,NYSE,91.29,45,30,80,91,10.88,1085926516.511776,109468398.0,0.0477,-27.88,1265380,1341010,1312804,0.42
3213,FRA,Financial Services,Asset Management,NYSE,91.27,45,39,38,36,10.58,383049748.8490162,35434758.0,0.0039,-20.39,135381,149153,148172,
3214,NWAX,Financial Services,Shell Companies,NYSE,91.26,45,38,39,45,10.1,504225000.0,49800000.0,0.0013,-2.79,364300,145380,103300,
3215,KMT,Industrials,Tools & Accessories,NYSE,91.26,45,52,81,90,29.7,2243625473.020586,76210103.0,0.1305,-32.21,1461800,1628690,1380140,0.426
3216,SYNA,Technology,Semiconductors,NASDAQ,91.24,45,73,95,66,89.24,3950978747.84198,39106986.0,0.105299994,-40.15,633560,700183,726742,0.089
3217,BTI,Consumer Defensive,Tobacco,NYSE,91.24,45,33,61,78,56.09,118951153510.96939,2153351736.0,0.0016,-16.66,6364850,4945863,4613704,0.014
3218,LYFT,Technology,Software - Application,NASDAQ,91.24,45,62,28,23,15.69,5799236499.158684,378540249.0,0.18270001,-38.57,10670570,11039900,11119920,0.161
3219,CENX,Basic Materials,Aluminum,NASDAQ,91.24,45,74,91,96,39.8,4360654569.22411,98993295.0,0.14819999,-43.49,1532000,2031883,1881064,0.197
3220,LFVN,Consumer Defensive,Packaged Foods,NASDAQ,91.23,45,50,34,8,6.18,77293738.1157608,12527348.0,0.123500004,-47.22,46460,52776,72856,-0.231
3221,AEIS,Industrials,Electrical Equipment & Parts,NASDAQ,91.23,45,84,94,97,252.22,11504489464.5,40050442.0,0.059499998,-36.54,496100,509373,610966,0.3
